driver_id,name,email,phone,license_number,experience_years,rating,shift_start,shift_end,status,depot_id
DRV_001,อนุชา รุ่งเรือง,driver001@ai-tms.com,0870897765,10435578,10.846029593624195,4.807301275381951,08:00,19:00,active,DEPOT_001
DRV_002,ประเสริฐ รุ่งเรือง,driver002@ai-tms.com,0878139880,24282218,1.9309326070575032,3.8837171843967906,08:00,18:00,active,DEPOT_001
DRV_003,ชัยวัฒน์ สุขสันต์,driver003@ai-tms.com,0830513739,60185867,1.8215816564262313,4.651411460263918,06:00,19:00,active,DEPOT_004
DRV_004,ชัยวัฒน์ ใจดี,driver004@ai-tms.com,0890388981,53507489,1.2529287039472383,4.1419562372216685,07:00,17:00,active,DEPOT_002
DRV_005,สมหญิง พัฒนา,driver005@ai-tms.com,0851273847,42138745,4.011513481412915,3.779999643812414,06:00,17:00,active,DEPOT_005
DRV_006,วรรณา มั่นคง,driver006@ai-tms.com,0821496211,75228535,6.863374640729897,4.216256681750614,06:00,19:00,active,DEPOT_004
DRV_007,วิชัย รุ่งเรือง,driver007@ai-tms.com,0898550256,73791320,4.108373024643075,4.628348965663874,08:00,17:00,active,DEPOT_001
DRV_008,ประเสริฐ วิริยะ,driver008@ai-tms.com,0838427073,82383095,4.37816737415616,3.367193037865685,08:00,19:00,active,DEPOT_004
DRV_009,นิภา เจริญ,driver009@ai-tms.com,0863551839,97225156,1.576951780950164,3.887837541175996,07:00,18:00,active,DEPOT_004
DRV_010,ชัยวัฒน์ สมบูรณ์,driver010@ai-tms.com,0826240908,43273328,3.451328618759133,3.958963453302786,06:00,17:00,active,DEPOT_003
DRV_011,สุดา ใจดี,driver011@ai-tms.com,0888961459,84346088,6.820589637890713,4.415624884574157,06:00,19:00,active,DEPOT_004
DRV_012,นิภา ใจดี,driver012@ai-tms.com,0819528530,94705205,7.864691500532517,4.519676353891514,06:00,17:00,active,DEPOT_002
DRV_013,สมหญิง ใจดี,driver013@ai-tms.com,0854349361,19510312,2.9943425306767404,4.154611493842817,08:00,17:00,active,DEPOT_005
